employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
100,Steven,King,SKING,515.123.4567,1987-06-17,AD_PRES,24000.0,,,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,1989-09-21,AD_VP,17000.0,,100.0,90
102,Lex,De Haan,LDEHAAN,515.123.4569,1993-01-13,AD_VP,17000.0,,100.0,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,1990-01-03,IT_PROG,9000.0,,102.0,60
104,Bruce,Ernst,BERNST,590.423.4568,1991-05-21,IT_PROG,6000.0,,103.0,60
105,David,Austin,DAUSTIN,590.423.4569,1997-06-25,IT_PROG,4800.0,,103.0,60
106,Valli,Pataballa,VPATABAL,590.423.4560,1998-02-05,IT_PROG,4800.0,,103.0,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,1999-02-07,IT_PROG,4200.0,,103.0,60
114,Den,Raphaely,DRAPHEAL,515.127.4561,1994-12-07,PU_MAN,11000.0,,100.0,30
115,Alexander,Khoo,AKHOO,515.127.4562,1995-05-18,PU_CLERK,3100.0,,114.0,30
116,Shelli,Baida,SBAIDA,515.127.4563,1997-12-24,PU_CLERK,2900.0,,114.0,30
117,Sigal,Tobias,STOBIAS,515.127.4564,1997-07-24,PU_CLERK,2800.0,,114.0,30
118,Guy,Himuro,GHIMURO,515.127.4565,1998-11-15,PU_CLERK,2600.0,,114.0,30
119,Karen,Colmenares,KCOLMENA,515.127.4566,1999-08-10,PU_CLERK,2500.0,,114.0,30
